Starting simulation...
Case Path: /hydra/cases/csv/all_case.csv, Cluster Config: {"A100":10,"GTX2080Ti":15,"V100":20}
Case Ranges: /hydra/cases/csv/all_case.csv, SchedulerTypes: [HydraPureHeuristic Allox Gavel Chronus Fgt]
Simulation For Scheduler Allox, CaseRange: [0 184], StartTime: 2025-01-10_06:47:51
Simulation For Scheduler Allox, CaseRange: [0 184] Finished, EndTime: 2025-01-10_06:50:11, RunTime: 139.89
Ending Simulation For Scheduler Allox, EndTime: 2025-01-10_06:50:11, RunTime: 139.89
Starting Simulation For Scheduler Gavel, StartTime: 2025-01-10_06:50:11
Simulation For Scheduler Gavel, CaseRange: [0 184], StartTime: 2025-01-10_06:50:11
Simulation For Scheduler Gavel, CaseRange: [0 184] Finished, EndTime: 2025-01-10_06:50:11, RunTime: 0.03
Ending Simulation For Scheduler Gavel, EndTime: 2025-01-10_06:50:11, RunTime: 0.03
Starting Simulation For Scheduler Chronus, StartTime: 2025-01-10_06:50:11
Simulation For Scheduler Chronus, CaseRange: [0 184], StartTime: 2025-01-10_06:50:11
Simulation For Scheduler Chronus, CaseRange: [0 184] Finished, EndTime: 2025-01-10_06:50:11, RunTime: 0.04
Ending Simulation For Scheduler Chronus, EndTime: 2025-01-10_06:50:11, RunTime: 0.04
Starting Simulation For Scheduler Fgt, StartTime: 2025-01-10_06:50:11
Simulation For Scheduler Fgt, CaseRange: [0 184], StartTime: 2025-01-10_06:50:11
Simulation For Scheduler Fgt, CaseRange: [0 184] Finished, EndTime: 2025-01-10_06:50:11, RunTime: 0.01
Ending Simulation For Scheduler Fgt, EndTime: 2025-01-10_06:50:11, RunTime: 0.01
End Simulation Time: 2025-01-10_06:50:11, RunTime: 142.90
generate report to /hydra/data/[Fgt_tic_lox_vel_nus]_all_case_case_range_([0_184]-[0_184])_01-10_06:50:11.json
